date_id,date,day,quarter,day_of_week,month_id
1,2024-01-01,1,1,Monday,1
2,2024-01-02,2,1,Tuesday,1
3,2024-01-03,3,1,Wednesday,1
4,2024-01-04,4,1,Thursday,1
5,2024-01-05,5,1,Friday,1
6,2024-01-06,6,1,Saturday,1
7,2024-01-07,7,1,Sunday,1
8,2024-01-08,8,1,Monday,1
9,2024-01-09,9,1,Tuesday,1
10,2024-01-10,10,1,Wednesday,1
11,2024-01-11,11,1,Thursday,1
12,2024-01-12,12,1,Friday,1
13,2024-01-13,13,1,Saturday,1
14,2024-01-14,14,1,Sunday,1
15,2024-01-15,15,1,Monday,1
16,2024-01-16,16,1,Tuesday,1
17,2024-01-17,17,1,Wednesday,1
18,2024-01-18,18,1,Thursday,1
19,2024-01-19,19,1,Friday,1
20,2024-01-20,20,1,Saturday,1
21,2024-01-21,21,1,Sunday,1
22,2024-01-22,22,1,Monday,1
23,2024-01-23,23,1,Tuesday,1
24,2024-01-24,24,1,Wednesday,1
25,2024-01-25,25,1,Thursday,1
26,2024-01-26,26,1,Friday,1
27,2024-01-27,27,1,Saturday,1
28,2024-01-28,28,1,Sunday,1
29,2024-01-29,29,1,Monday,1
30,2024-01-30,30,1,Tuesday,1
31,2024-01-31,31,1,Wednesday,1
32,2024-02-01,1,1,Thursday,2
33,2024-02-02,2,1,Friday,2
34,2024-02-03,3,1,Saturday,2
35,2024-02-04,4,1,Sunday,2
36,2024-02-05,5,1,Monday,2
37,2024-02-06,6,1,Tuesday,2
38,2024-02-07,7,1,Wednesday,2
39,2024-02-08,8,1,Thursday,2
40,2024-02-09,9,1,Friday,2
41,2024-02-10,10,1,Saturday,2
42,2024-02-11,11,1,Sunday,2
43,2024-02-12,12,1,Monday,2
44,2024-02-13,13,1,Tuesday,2
45,2024-02-14,14,1,Wednesday,2
46,2024-02-15,15,1,Thursday,2
47,2024-02-16,16,1,Friday,2
48,2024-02-17,17,1,Saturday,2
49,2024-02-18,18,1,Sunday,2
50,2024-02-19,19,1,Monday,2
51,2024-02-20,20,1,Tuesday,2
52,2024-02-21,21,1,Wednesday,2
53,2024-02-22,22,1,Thursday,2
54,2024-02-23,23,1,Friday,2
55,2024-02-24,24,1,Saturday,2
56,2024-02-25,25,1,Sunday,2
57,2024-02-26,26,1,Monday,2
58,2024-02-27,27,1,Tuesday,2
59,2024-02-28,28,1,Wednesday,2
60,2024-02-29,29,1,Thursday,2
61,2024-03-01,1,1,Friday,3
62,2024-03-02,2,1,Saturday,3
63,2024-03-03,3,1,Sunday,3
64,2024-03-04,4,1,Monday,3
65,2024-03-05,5,1,Tuesday,3
66,2024-03-06,6,1,Wednesday,3
67,2024-03-07,7,1,Thursday,3
68,2024-03-08,8,1,Friday,3
69,2024-03-09,9,1,Saturday,3
70,2024-03-10,10,1,Sunday,3
71,2024-03-11,11,1,Monday,3
72,2024-03-12,12,1,Tuesday,3
73,2024-03-13,13,1,Wednesday,3
74,2024-03-14,14,1,Thursday,3
75,2024-03-15,15,1,Friday,3
76,2024-03-16,16,1,Saturday,3
77,2024-03-17,17,1,Sunday,3
78,2024-03-18,18,1,Monday,3
79,2024-03-19,19,1,Tuesday,3
80,2024-03-20,20,1,Wednesday,3
81,2024-03-21,21,1,Thursday,3
82,2024-03-22,22,1,Friday,3
83,2024-03-23,23,1,Saturday,3
84,2024-03-24,24,1,Sunday,3
85,2024-03-25,25,1,Monday,3
86,2024-03-26,26,1,Tuesday,3
87,2024-03-27,27,1,Wednesday,3
88,2024-03-28,28,1,Thursday,3
89,2024-03-29,29,1,Friday,3
90,2024-03-30,30,1,Saturday,3
91,2024-03-31,31,1,Sunday,3
92,2024-04-01,1,2,Monday,4
93,2024-04-02,2,2,Tuesday,4
94,2024-04-03,3,2,Wednesday,4
95,2024-04-04,4,2,Thursday,4
96,2024-04-05,5,2,Friday,4
97,2024-04-06,6,2,Saturday,4
98,2024-04-07,7,2,Sunday,4
99,2024-04-08,8,2,Monday,4
100,2024-04-09,9,2,Tuesday,4
101,2024-04-10,10,2,Wednesday,4
102,2024-04-11,11,2,Thursday,4
103,2024-04-12,12,2,Friday,4
104,2024-04-13,13,2,Saturday,4
105,2024-04-14,14,2,Sunday,4
106,2024-04-15,15,2,Monday,4
107,2024-04-16,16,2,Tuesday,4
108,2024-04-17,17,2,Wednesday,4
109,2024-04-18,18,2,Thursday,4
110,2024-04-19,19,2,Friday,4
111,2024-04-20,20,2,Saturday,4
112,2024-04-21,21,2,Sunday,4
113,2024-04-22,22,2,Monday,4
114,2024-04-23,23,2,Tuesday,4
115,2024-04-24,24,2,Wednesday,4
116,2024-04-25,25,2,Thursday,4
117,2024-04-26,26,2,Friday,4
118,2024-04-27,27,2,Saturday,4
119,2024-04-28,28,2,Sunday,4
120,2024-04-29,29,2,Monday,4
121,2024-04-30,30,2,Tuesday,4
122,2024-05-01,1,2,Wednesday,5
123,2024-05-02,2,2,Thursday,5
124,2024-05-03,3,2,Friday,5
125,2024-05-04,4,2,Saturday,5
126,2024-05-05,5,2,Sunday,5
127,2024-05-06,6,2,Monday,5
128,2024-05-07,7,2,Tuesday,5
129,2024-05-08,8,2,Wednesday,5
130,2024-05-09,9,2,Thursday,5
131,2024-05-10,10,2,Friday,5
132,2024-05-11,11,2,Saturday,5
133,2024-05-12,12,2,Sunday,5
134,2024-05-13,13,2,Monday,5
135,2024-05-14,14,2,Tuesday,5
136,2024-05-15,15,2,Wednesday,5
137,2024-05-16,16,2,Thursday,5
138,2024-05-17,17,2,Friday,5
139,2024-05-18,18,2,Saturday,5
140,2024-05-19,19,2,Sunday,5
141,2024-05-20,20,2,Monday,5
142,2024-05-21,21,2,Tuesday,5
143,2024-05-22,22,2,Wednesday,5
144,2024-05-23,23,2,Thursday,5
145,2024-05-24,24,2,Friday,5
146,2024-05-25,25,2,Saturday,5
147,2024-05-26,26,2,Sunday,5
148,2024-05-27,27,2,Monday,5
149,2024-05-28,28,2,Tuesday,5
150,2024-05-29,29,2,Wednesday,5
151,2024-05-30,30,2,Thursday,5
152,2024-05-31,31,2,Friday,5
153,2024-06-01,1,2,Saturday,6
154,2024-06-02,2,2,Sunday,6
155,2024-06-03,3,2,Monday,6
156,2024-06-04,4,2,Tuesday,6
157,2024-06-05,5,2,Wednesday,6
158,2024-06-06,6,2,Thursday,6
159,2024-06-07,7,2,Friday,6
160,2024-06-08,8,2,Saturday,6
161,2024-06-09,9,2,Sunday,6
162,2024-06-10,10,2,Monday,6
163,2024-06-11,11,2,Tuesday,6
164,2024-06-12,12,2,Wednesday,6
165,2024-06-13,13,2,Thursday,6
166,2024-06-14,14,2,Friday,6
167,2024-06-15,15,2,Saturday,6
168,2024-06-16,16,2,Sunday,6
169,2024-06-17,17,2,Monday,6
170,2024-06-18,18,2,Tuesday,6
171,2024-06-19,19,2,Wednesday,6
172,2024-06-20,20,2,Thursday,6
173,2024-06-21,21,2,Friday,6
174,2024-06-22,22,2,Saturday,6
175,2024-06-23,23,2,Sunday,6
176,2024-06-24,24,2,Monday,6
177,2024-06-25,25,2,Tuesday,6
178,2024-06-26,26,2,Wednesday,6
179,2024-06-27,27,2,Thursday,6
180,2024-06-28,28,2,Friday,6
181,2024-06-29,29,2,Saturday,6
182,2024-06-30,30,2,Sunday,6
183,2024-07-01,1,3,Monday,7
184,2024-07-02,2,3,Tuesday,7
185,2024-07-03,3,3,Wednesday,7
186,2024-07-04,4,3,Thursday,7
187,2024-07-05,5,3,Friday,7
188,2024-07-06,6,3,Saturday,7
189,2024-07-07,7,3,Sunday,7
190,2024-07-08,8,3,Monday,7
191,2024-07-09,9,3,Tuesday,7
192,2024-07-10,10,3,Wednesday,7
193,2024-07-11,11,3,Thursday,7
194,2024-07-12,12,3,Friday,7
195,2024-07-13,13,3,Saturday,7
196,2024-07-14,14,3,Sunday,7
197,2024-07-15,15,3,Monday,7
198,2024-07-16,16,3,Tuesday,7
199,2024-07-17,17,3,Wednesday,7
200,2024-07-18,18,3,Thursday,7
201,2024-07-19,19,3,Friday,7
202,2024-07-20,20,3,Saturday,7
203,2024-07-21,21,3,Sunday,7
204,2024-07-22,22,3,Monday,7
205,2024-07-23,23,3,Tuesday,7
206,2024-07-24,24,3,Wednesday,7
207,2024-07-25,25,3,Thursday,7
208,2024-07-26,26,3,Friday,7
209,2024-07-27,27,3,Saturday,7
210,2024-07-28,28,3,Sunday,7
211,2024-07-29,29,3,Monday,7
212,2024-07-30,30,3,Tuesday,7
213,2024-07-31,31,3,Wednesday,7
214,2024-08-01,1,3,Thursday,8
215,2024-08-02,2,3,Friday,8
216,2024-08-03,3,3,Saturday,8
217,2024-08-04,4,3,Sunday,8
218,2024-08-05,5,3,Monday,8
219,2024-08-06,6,3,Tuesday,8
220,2024-08-07,7,3,Wednesday,8
221,2024-08-08,8,3,Thursday,8
222,2024-08-09,9,3,Friday,8
223,2024-08-10,10,3,Saturday,8
224,2024-08-11,11,3,Sunday,8
225,2024-08-12,12,3,Monday,8
226,2024-08-13,13,3,Tuesday,8
227,2024-08-14,14,3,Wednesday,8
228,2024-08-15,15,3,Thursday,8
229,2024-08-16,16,3,Friday,8
230,2024-08-17,17,3,Saturday,8
231,2024-08-18,18,3,Sunday,8
232,2024-08-19,19,3,Monday,8
233,2024-08-20,20,3,Tuesday,8
234,2024-08-21,21,3,Wednesday,8
235,2024-08-22,22,3,Thursday,8
236,2024-08-23,23,3,Friday,8
237,2024-08-24,24,3,Saturday,8
238,2024-08-25,25,3,Sunday,8
239,2024-08-26,26,3,Monday,8
